iter	RMSE
0	1.085184036
1	1.068692338
2	1.05493775
3	1.042217301
4	1.030271079
5	1.019324522
6	1.010195668
7	1.001351367
8	0.9939058184
9	0.987134823
10	0.9803888186
11	0.9742092741
12	0.9690076412
13	0.9636936003
14	0.9591253554
15	0.9550747578
16	0.9509028631
17	0.9470627536
18	0.9440206552
19	0.9406390774
20	0.93785629
21	0.9354049845
22	0.9328132204
23	0.9305319628
24	0.9283433163
25	0.926489978
26	0.9243221236
27	0.9224412172
28	0.9209805191
29	0.9192797618
30	0.9177209705
31	0.916103371
32	0.9146176781
33	0.9133076876
34	0.9119688294
35	0.9104288359
36	0.9092781217
37	0.9078802196
38	0.9068748071
39	0.9058107851
40	0.9047820184
41	0.9039067699
42	0.9029249708
43	0.9021502913
44	0.9011122885
45	0.9002975361
46	0.8994826119
47	0.8985425775
48	0.8977862983
49	0.8973260525
50	0.8966269792
51	0.8960188676
52	0.8954485428
53	0.894764705
54	0.8940968041
55	0.8934370018
56	0.8928523609
57	0.8924371301
58	0.8917978268
59	0.8912009865
60	0.8907572748
61	0.8903392919
62	0.8899226933
63	0.8894487358
64	0.8889872171
65	0.8883613138
66	0.8878356207
67	0.887165056
68	0.8867706958
69	0.8863287659
70	0.8858891546
71	0.8853174096
72	0.8849044995
73	0.8844500061
74	0.8840354145
75	0.8836856148
76	0.8832176339
77	0.8828736409
78	0.8824835273
79	0.8820524179
80	0.8816273195
81	0.881274829
82	0.8807387114
83	0.8801997485
84	0.8798706591
85	0.8795163726
86	0.8791588903
87	0.8786173623
88	0.8783114789
89	0.8781079199
90	0.8777752743
91	0.8775025142
92	0.877191383
93	0.8769214802
94	0.8766014322
95	0.8765057279
96	0.8762248173
97	0.8759622681
98	0.8753818708
99	0.875059829
100	0.8747652206
101	0.8745206283
102	0.8739742315
103	0.8736707703
104	0.8732894774
105	0.8730352231
106	0.872779594
107	0.8723959037
108	0.8721801663
109	0.8716424194
110	0.8712569039
111	0.8710129799
112	0.8706855304
113	0.8704117264
114	0.8701399983
115	0.8697348812
116	0.8694397411
117	0.8689100588
118	0.8686480053
119	0.868503367
120	0.8680689133
121	0.8676940874
122	0.8673115661
123	0.8670419363
124	0.8667108231
125	0.8663667026
126	0.8658963014
127	0.8656137362
128	0.8652681699
129	0.8648441304
130	0.8644334487
131	0.8640211762
132	0.8637669025
133	0.8634815084
134	0.8631866564
135	0.8626595745
136	0.8621540317
137	0.8616869289
138	0.8612971492
139	0.8610365089
140	0.8607259265
141	0.8603853338
142	0.8600790465
143	0.8595742144
144	0.8589102076
145	0.8586317058
146	0.8582075982
147	0.8578065135
148	0.8574131186
149	0.8569637236
150	0.8566185081
151	0.8562566046
152	0.8559245977
153	0.8554361419
154	0.8550809054
155	0.8546013652
156	0.8542108721
157	0.8537916317
158	0.85330664
159	0.8530274997
160	0.8525720884
161	0.8522090744
162	0.8519418226
163	0.8515016357
164	0.8513288737
165	0.8510546072
166	0.8503237069
167	0.8498740695
168	0.8494817867
169	0.8491661761
170	0.8488323437
171	0.848343861
172	0.8478710121
173	0.8475430395
174	0.8471289697
175	0.84676858
176	0.8465574024
177	0.8462007128
178	0.8459442383
179	0.8457196763
180	0.8451524424
181	0.844902202
182	0.8441858454
183	0.8439870059
184	0.8435495552
185	0.8432450834
186	0.8428229464
187	0.842530837
188	0.8419834414
189	0.841378633
190	0.8409255595
191	0.84048661
192	0.8398636021
193	0.8395786289
194	0.8390873395
195	0.8389786423
196	0.8385850914
197	0.838311446
198	0.8380280323
199	0.8377707757
200	0.8375921795
201	0.8371671009
202	0.8366500004
203	0.8364062205
204	0.8360202305
205	0.8354831418
206	0.8352091019
207	0.8351026727
208	0.8347971186
209	0.8346614785
210	0.8342829325
211	0.8339995161
212	0.8335726569
213	0.8334394736
214	0.8329909463
215	0.8325752857
216	0.8322760972
217	0.8317438948
218	0.831232707
219	0.830707127
220	0.8305576477
221	0.8300703377
222	0.8297806458
223	0.8293260689
224	0.8288866976
225	0.8287164261
226	0.8284622386
227	0.8279141836
228	0.8275308415
229	0.8269455112
230	0.8266362405
231	0.8262068711
232	0.8257733641
233	0.82573898
234	0.825494902
235	0.8248222347
236	0.8241074774
237	0.8236440193
238	0.8231263108
239	0.8225725734
240	0.8221264987
241	0.8219323834
242	0.8218907372
243	0.8215042082
244	0.8211376474
245	0.8204448467
246	0.8199916592
247	0.8196715138
248	0.8191349497
249	0.8187736447
250	0.8187533755
251	0.8183963943
252	0.8178441712
253	0.8175684159
254	0.8173596672
255	0.817033755
256	0.8164079338
257	0.8160705954
258	0.8158538048
259	0.8155220603
260	0.8154262421
261	0.8149871675
262	0.8147619358
263	0.8143692057
264	0.8143292496
265	0.8138789592
266	0.8134617471
267	0.813448535
268	0.8132298298
269	0.813142943
270	0.8126734569
271	0.8124983093
272	0.8121288679
273	0.8115308667
274	0.8108031457
275	0.8105241459
276	0.8101572423
277	0.8098268437
278	0.8094115259
279	0.8091027709
280	0.808597082
281	0.8081210983
282	0.8077010948
283	0.8073536946
284	0.8072231605
285	0.8068173129
286	0.8065567125
287	0.8062904796
288	0.8059496629
289	0.805735529
290	0.8055463251
291	0.8053119836
292	0.8050083533
293	0.8045365716
294	0.8043750522
295	0.8042690821
296	0.8037369327
297	0.8031673449
298	0.8028800871
299	0.8025924677
300	0.8022126908
