iter	Passed	Remaining
0	172	172235
1	206	102919
2	236	78589
3	268	66980
4	298	59393
5	333	55196
6	367	52117
7	400	49634
8	433	47784
9	468	46363
10	503	45291
11	535	44120
12	567	43083
13	599	42219
14	632	41519
15	667	41061
16	701	40536
17	734	40086
18	768	39673
19	800	39222
20	834	38884
21	865	38471
22	897	38140
23	929	37800
24	962	37527
25	995	37298
26	1027	37014
27	1061	36850
28	1093	36599
29	1126	36425
30	1161	36293
31	1192	36072
32	1226	35925
33	1258	35748
34	1290	35567
35	1324	35458
36	1361	35447
37	1397	35389
38	1431	35265
39	1464	35153
40	1498	35047
41	1530	34911
42	1562	34767
43	1594	34644
44	1626	34523
45	1661	34453
46	1694	34350
47	1727	34265
48	1760	34176
49	1786	33942
50	1821	33890
51	1854	33800
52	1886	33711
53	1918	33614
54	1950	33518
55	1986	33493
56	2020	33419
57	2052	33333
58	2084	33241
59	2116	33152
60	2151	33126
61	2183	33029
62	2214	32928
63	2247	32863
64	2278	32768
65	2312	32722
66	2345	32668
67	2379	32607
68	2412	32554
69	2449	32549
70	2488	32560
71	2523	32529
72	2561	32524
73	2593	32452
74	2624	32373
75	2659	32332
76	2691	32262
77	2723	32194
78	2755	32119
79	2788	32068
80	2824	32043
81	2859	32016
82	2894	31977
83	2927	31922
84	2959	31860
85	2994	31820
86	3026	31758
87	3058	31694
88	3090	31629
89	3124	31590
90	3159	31555
91	3190	31484
92	3221	31414
93	3253	31354
94	3284	31291
95	3307	31141
96	3337	31070
97	3369	31009
98	3402	30965
99	3436	30930
100	3481	30987
101	3514	30941
102	3547	30892
103	3579	30836
104	3611	30783
105	3645	30746
106	3676	30683
107	3708	30630
108	3739	30567
109	3770	30509
110	3804	30474
111	3837	30422
112	3869	30377
113	3902	30327
114	3934	30279
115	3968	30241
116	3999	30185
117	4032	30137
118	4064	30089
119	4095	30035
120	4130	30005
121	4163	29960
122	4195	29915
123	4227	29866
124	4259	29814
125	4293	29784
126	4325	29734
127	4358	29690
128	4390	29646
129	4422	29596
130	4458	29573
131	4491	29531
132	4521	29477
133	4553	29425
134	4585	29380
135	4620	29351
136	4652	29304
137	4683	29253
138	4715	29209
139	4747	29160
140	4780	29125
141	4812	29081
142	4843	29029
143	4875	28982
144	4908	28940
145	4942	28910
146	4974	28864
147	5007	28825
148	5039	28784
149	5073	28748
150	5111	28737
151	5143	28694
152	5174	28647
153	5207	28605
154	5247	28605
155	5282	28577
156	5313	28529
157	5345	28484
158	5378	28447
159	5410	28403
160	5446	28382
161	5479	28346
162	5511	28299
163	5549	28287
164	5586	28272
165	5622	28245
166	5654	28203
167	5685	28158
168	5717	28114
169	5748	28068
170	5782	28035
171	5815	27996
172	5847	27955
173	5879	27911
174	5912	27873
175	5946	27842
176	5977	27794
177	6008	27745
178	6040	27704
179	6073	27667
180	6107	27635
181	6137	27586
182	6170	27549
183	6202	27507
184	6234	27464
185	6267	27427
186	6299	27388
187	6331	27348
188	6363	27307
189	6396	27269
190	6431	27239
191	6463	27200
192	6496	27165
193	6528	27124
194	6567	27113
195	6605	27094
196	6636	27051
197	6668	27011
198	6700	26972
199	6732	26931
200	6767	26901
201	6800	26864
202	6832	26825
203	6863	26783
204	6896	26743
205	6931	26716
206	6965	26685
207	6997	26642
208	7030	26607
209	7063	26570
210	7098	26545
211	7131	26506
212	7166	26478
213	7195	26427
214	7227	26388
215	7261	26356
216	7293	26318
217	7326	26281
218	7359	26244
219	7392	26210
220	7426	26178
221	7459	26142
222	7492	26106
223	7526	26073
224	7558	26036
225	7592	26004
226	7625	25966
227	7660	25938
228	7696	25911
229	7728	25872
230	7763	25844
231	7796	25808
232	7828	25769
233	7858	25725
234	7890	25686
235	7925	25656
236	7957	25619
237	7989	25578
238	8020	25539
239	8053	25501
240	8088	25473
241	8121	25436
242	8152	25396
243	8184	25358
244	8216	25318
245	8250	25286
246	8281	25246
247	8316	25217
248	8347	25177
249	8380	25140
250	8413	25106
251	8446	25070
252	8478	25032
253	8510	24995
254	8542	24957
255	8576	24926
256	8609	24890
257	8642	24854
258	8672	24811
259	8703	24772
260	8736	24737
261	8770	24704
262	8803	24668
263	8835	24631
264	8866	24591
265	8900	24560
266	8932	24523
267	8964	24484
268	8996	24447
269	9028	24409
270	9065	24387
271	9098	24350
272	9131	24317
273	9163	24279
274	9197	24247
275	9233	24220
276	9266	24185
277	9298	24149
278	9331	24115
279	9363	24078
280	9398	24048
281	9432	24015
282	9463	23977
283	9496	23941
284	9528	23905
285	9564	23878
286	9596	23839
287	9628	23803
288	9660	23766
289	9691	23728
290	9729	23705
291	9762	23671
292	9796	23637
293	9828	23601
294	9859	23562
295	9893	23530
296	9926	23495
297	9959	23460
298	9990	23422
299	10021	23382
300	10054	23350
301	10086	23312
302	10118	23276
303	10151	23240
304	10181	23201
305	10215	23169
306	10247	23133
307	10279	23096
308	10310	23056
309	10343	23022
310	10377	22990
311	10409	22953
312	10440	22915
313	10472	22879
314	10504	22842
315	10539	22814
316	10572	22779
317	10604	22743
318	10636	22707
319	10669	22672
320	10704	22643
321	10737	22608
322	10769	22572
323	10801	22536
324	10833	22500
325	10867	22468
326	10899	22431
327	10930	22394
328	10963	22359
329	10995	22324
330	11030	22294
331	11063	22259
332	11096	22226
333	11129	22192
